;0;1;2;3;4;5;6;7;8;9;10;11;type
890;-11618.1899819;14033.6741911;-14853.3008619;1047.55978568;-24.4744492938;25169.5133393;-6895.60815557;-3712.72990167;-5828.86766579;-7509.29103928;4088.3962009;1366.48842169;1.0
1521;2198.40327017;1087.84076788;-17649.2615718;3959.78843999;836.809160042;-10839.1469811;-4316.3997386;-3268.75793091;-3370.12595789;-3355.64464458;1545.39454188;-3288.17982805;0.0
1792;-13686.2688778;390.932828114;2239.94476997;2582.61278825;-1369.91721552;3870.06431528;2306.4581009;192.483632364;1815.1681082;2881.00060878;-55.4231878629;506.341325187;0.0
743;-1553.05319331;4255.59381026;-14011.4860915;5744.65693745;2055.45855682;1265.38587837;-1647.77566995;-3435.57583662;2255.8607292;-1219.08739819;3379.3522575;-1784.41523952;1.0
804;-42386.0924849;3404.90602209;21647.3148009;-7501.06252989;-10552.36916;-3038.20916914;1903.61601926;-1858.81640125;378.466423065;-1295.63086052;2315.74583442;356.643872254;1.0
1604;14747.5283421;-19527.3182817;14623.1213864;7466.3163283;1567.88893572;-7824.03535122;-2740.14693317;-4757.14578672;-5152.34570402;1583.54742646;558.658407295;-1239.09696635;0.0
1756;-37835.7840046;258.374526161;13349.9431623;-1946.27154163;-4853.86799922;-2677.46458352;2117.12479724;-867.453929314;3544.67409746;-1271.52348773;-2188.473627;131.679210735;0.0
789;-14877.4519016;-4402.28332876;-3210.32569214;-1934.97634449;-3516.90539249;-7176.33772876;4023.24769179;4981.30705163;-1166.1891349;-3480.37102273;2380.48435575;3049.49113599;1.0
828;34395.8136103;-8957.39632407;17981.0417656;-2749.92189565;2866.85092583;2756.17547985;1672.08319999;1772.52582978;-5221.00927753;6872.3269624;-1440.35970762;1780.07394696;1.0
817;76222.7604228;28511.7323414;12016.214286;-8455.52454298;-5519.29740169;-6837.39448418;-13893.5236865;-13332.0787623;-861.531327553;-4531.53233545;-7452.84422804;5349.70855772;1.0
1007;14595.7489764;4495.68810758;-17885.5560572;-4.68590172433;412.278290962;-6517.20351323;3927.7461375;593.783713753;11915.98574;-466.74635796;-7257.79196328;-2787.63569357;0.0
897;-1816.888894;11396.7670937;-8870.02069838;-3486.01522586;-3792.47845528;16822.6153697;-1443.90882516;1108.43039316;-3853.1965739;7150.51783394;-509.255386361;365.719065042;1.0
824;-625.818912832;-323.539322045;60.2481237189;703.966083661;-2092.60389699;7376.56069634;-5754.44102154;-2184.3128641;-1975.26337844;1448.39548289;-1807.43293254;822.1480457;1.0
922;-16581.2281579;4086.01064472;-7172.85580199;1339.86560397;-1079.58124515;2691.43340046;3198.84604188;812.725552557;-2497.31629566;406.32486377;-2693.03474076;-6141.45542875;1.0
710;-2487.05720477;-9517.64815821;-19986.0057545;7576.11290509;3416.80763283;-6461.92683751;2538.75236691;2333.74189035;4652.4725751;-4586.02246775;1844.95878137;-1507.69204542;0.0
833;6468.75145438;26797.7977186;-21351.858869;-11178.679182;-6632.69093908;2451.42646359;-6145.82244826;-6099.96732526;-1068.3871472;1222.58647356;2224.92750093;1077.04559528;1.0
924;-1911.03877701;-4527.68409919;-10420.2737652;9375.7990071;4354.74416955;7764.07386092;-5783.80292258;-2753.22391799;3025.6926459;-1533.24930917;2353.89242031;-4003.57895127;1.0
1695;-3620.17699534;-6711.62003496;1005.2286777;7845.90351632;2194.37522636;-4543.19449962;-1774.7508459;3172.52149806;-3633.13799413;-1761.05960824;2044.32932637;90.2295200013;0.0
702;-14205.5534336;-8616.47072049;-2855.02754951;10209.8187013;2791.0888586;-1252.12818696;-818.944544713;558.798264467;-3937.98681594;-60.6477927004;-901.200065132;158.204024237;0.0
